partType,name,image,url,brand,socket,speed,coreCount,threadCount,power
cpu,Intel Core i3-7350K 4.2 GHz Dual-Core Processor (BX80677I37350K),https://cdna.pcpartpicker.com/static/forever/images/product/f08ed44a8570ef813099b9b298a84d38.256p.jpg,https://pcpartpicker.com/product/tTVBD3/intel-core-i3-7350k-42ghz-dual-core-processor-bx80677i37350k,Intel,LGA 1151,4.2,2,4,50
cpu,Intel Core i3-7100 3.9 GHz Dual-Core Processor (BX80677I37100),https://images-eu.ssl-images-amazon.com/images/I/511mRxIv4GL.jpg,https://pcpartpicker.com/product/J9X2FT/intel-core-i3-7100-39ghz-dual-core-processor-bx80677i37100,Intel,LGA 1151,3.9,2,4,50
cpu,Intel Core i3-7320 4.1 GHz Dual-Core Processor (BX80677I37320),https://m.media-amazon.com/images/I/51NQB9peGbL.jpg,https://pcpartpicker.com/product/HgKhP6/intel-core-i3-7320-41ghz-dual-core-processor-bx80677i37320,Intel,LGA 1151,4.1,2,4,50
cpu,Intel Core i3-7100 3.9 GHz Dual-Core OEM/Tray Processor (CM8067703014612),https://m.media-amazon.com/images/I/51YoPRZs3aL.jpg,https://pcpartpicker.com/product/PqVBD3/intel-core-i3-7100-39ghz-dual-core-oemtray-processor-cm8067703014612,Intel,LGA 1151,3.9,2,4,50
cpu,Intel Core i3-7100T 3.4 GHz Dual-Core OEM/Tray Processor (CM8067703015913),https://m.media-amazon.com/images/I/51ar56B-zyL.jpg,https://pcpartpicker.com/product/QNTrxr/intel-core-i3-7100t-34ghz-dual-core-oemtray-processor-cm8067703015913,Intel,LGA 1151,3.4,2,4,50
cpu,Intel Core i3-7300 4 GHz Dual-Core Processor (BX80677I37300),https://m.media-amazon.com/images/I/41QVRVRgLDL.jpg,https://pcpartpicker.com/product/XQM323/intel-core-i3-7300-40ghz-dual-core-processor-bx80677i37300,Intel,LGA 1151,4.0,2,4,50
cpu,Intel Core i3-7100T 3.4 GHz Dual-Core Processor (BX80677I37100T),https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,https://pcpartpicker.com/product/qXp323/intel-core-i3-7100t-34ghz-dual-core-processor-bx80677i37100t,Intel,LGA 1151,3.4,2,4,50
cpu,Intel Core i3-7350K 4.2 GHz Dual-Core OEM/Tray Processor (CM8067703014431),https://cdna.pcpartpicker.com/static/forever/images/product/2c0f0ca43297191b87dcf05818b2fc29.256p.jpg,https://pcpartpicker.com/product/psPzK8/intel-core-i3-7350k-42ghz-dual-core-oemtray-processor-cm8067703014431,Intel,LGA 1151,4.2,2,4,50
cpu,Intel Core i3-7300T 3.5 GHz Dual-Core Processor (BX80677I37300T),https://cdna.pcpartpicker.com/static/forever/images/product/6575bf30b14742cef9e7ddae7fb2ce7f.256p.jpg,https://pcpartpicker.com/product/7HL7YJ/intel-core-i3-7300t-35ghz-dual-core-processor-bx80677i37300t,Intel,LGA 1151,3.5,2,4,50
cpu,Intel Core i3-7101TE 3.4 GHz Dual-Core OEM/Tray Processor (CM8067702867061),https://m.media-amazon.com/images/I/41oucK2vBSL.jpg,https://pcpartpicker.com/product/tqX2FT/intel-core-i3-7101te-34ghz-dual-core-oemtray-processor-cm8067702867061,Intel,LGA 1151,3.4,2,4,50
cpu,Intel Core i3-7300T 3.5 GHz Dual-Core Processor (BXC80677I37300T),https://m.media-amazon.com/images/I/41QBIqWIoCL.jpg,https://pcpartpicker.com/product/VyRFf7/intel-core-i3-7300t-35ghz-dual-core-processor-bxc80677i37300t,Intel,LGA 1151,3.5,2,4,50
cpu,Intel Core i3-7300T 3.5 GHz Dual-Core OEM/Tray Processor (CM8067703015810),https://m.media-amazon.com/images/I/51ar56B-zyL.jpg,https://pcpartpicker.com/product/mvCrxr/intel-core-i3-7300t-35ghz-dual-core-oemtray-processor-cm8067703015810,Intel,LGA 1151,3.5,2,4,50
cpu,Intel Core i3-7100T 3.4 GHz Dual-Core Processor (BXC80677I37100T),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/KbZ2FT/intel-core-i3-7100t-34ghz-dual-core-processor-bxc80677i37100t,Intel,LGA 1151,3.4,2,4,50
cpu,Intel Core i3-7300 4 GHz Dual-Core OEM/Tray Processor (CM8067703014426),https://m.media-amazon.com/images/I/510c5H9j+PL.jpg,https://pcpartpicker.com/product/vxkwrH/intel-core-i3-7300-40ghz-dual-core-oemtray-processor-cm8067703014426,Intel,LGA 1151,4.0,2,4,50
cpu,Intel Core i3-7320 4.1 GHz Dual-Core OEM/Tray Processor (CM8067703014425),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/hpWrxr/intel-core-i3-7320-41ghz-dual-core-oemtray-processor-cm8067703014425,Intel,LGA 1151,4.1,2,4,50
cpu,Intel Core i5-7400 3 GHz Quad-Core Processor (BX80677I57400),https://cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,https://pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,Intel,LGA 1151,3.0,4,4,50
cpu,Intel Core i5-7500 3.4 GHz Quad-Core Processor (BX80677I57500),https://cdna.pcpartpicker.com/static/forever/images/product/af30c4076a25b69d6f721172010cc0ec.256p.jpg,https://pcpartpicker.com/product/QbGj4D/intel-core-i5-7500-34ghz-quad-core-processor-bx80677i57500,Intel,LGA 1151,3.4,4,4,50
cpu,Intel Core i5-7600K 3.8 GHz Quad-Core Processor (BX80677I57600K),https://cdna.pcpartpicker.com/static/forever/images/product/02dbd0bb7cefb31a308b7f7ce6bf392e.256p.jpg,https://pcpartpicker.com/product/dQM323/intel-core-i5-7600k-38ghz-quad-core-processor-bx80677i57600k,Intel,LGA 1151,3.8,4,4,50
cpu,Intel Core i5-7600 3.5 GHz Quad-Core Processor (BX80677I57600),https://cdna.pcpartpicker.com/static/forever/images/product/0c2441d24af10b2aff285308b4e32d03.256p.jpg,https://pcpartpicker.com/product/3pWrxr/intel-core-i5-7600-35ghz-quad-core-processor-bx80677i57600,Intel,LGA 1151,3.5,4,4,50
cpu,Intel Core i5-7640X 4 GHz Quad-Core Processor (BX80677I57640X),https://m.media-amazon.com/images/I/51LYLytJQOL.jpg,https://pcpartpicker.com/product/7rkwrH/intel-core-i7-7740x-43ghz-quad-core-processor-bx80677i57640x,Intel,LGA 1151,4.0,4,4,50
cpu,Intel Core i5-750 2.66 GHz Quad-Core Processor (BX80605I5750),https://cdna.pcpartpicker.com/static/forever/images/product/81283e72ef71a981049b8a1b7dc9c50e.256p.jpg,https://pcpartpicker.com/product/CHFPxr/intel-cpu-bx80605i5750,Intel,LGA 1151,2.66,4,4,50
cpu,Intel Core i5-7400 3 GHz Quad-Core OEM/Tray Processor (CM8067702867050),https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,https://pcpartpicker.com/product/gWjWGX/intel-core-i5-7400-30ghz-quad-core-oemtray-processor-cm8067702867050,Intel,LGA 1151,3.0,4,4,50
cpu,Intel Core i5-7500 3.4 GHz Quad-Core OEM/Tray Processor (CM8067702868012),https://images-eu.ssl-images-amazon.com/images/I/51JPrIJI7gL.jpg,https://pcpartpicker.com/product/KmRFf7/intel-core-i5-7500-34ghz-quad-core-oemtray-processor-cm8067702868012,Intel,LGA 1151,3.4,4,4,50
cpu,Intel Core i5-7600K 3.8 GHz Quad-Core OEM/Tray Processor (CM8067702868219),https://cdna.pcpartpicker.com/static/forever/images/product/a9e3ce1189342ff04c81e37b12d2c162.256p.jpg,https://pcpartpicker.com/product/yzGj4D/intel-core-i5-7600k-38ghz-quad-core-oemtray-processor-cm8067702868219,Intel,LGA 1151,3.8,4,4,50
cpu,Intel Core i5-7500T 2.7 GHz Quad-Core OEM/Tray Processor (CM8067702868115),https://images-eu.ssl-images-amazon.com/images/I/51JPrIJI7gL.jpg,https://pcpartpicker.com/product/jCvZxr/intel-core-i5-7500t-27ghz-quad-core-oemtray-processor-cm8067702868115,Intel,LGA 1151,2.7,4,4,50
