partType,name,image,url,size
case,Corsair 4000D Airflow ATX Mid Tower Case (CC-9011200-WW),https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg,https://pcpartpicker.com/product/bCYQzy/corsair-4000d-airflow-atx-mid-tower-case-cc-9011200-ww,ATX
case,NZXT H5 Flow ATX Mid Tower Case (CC-H51FB-01),https://cdna.pcpartpicker.com/static/forever/images/product/84cb77175187296029f50f8bf6ca6960.256p.jpg,https://pcpartpicker.com/product/RY4Ycf/nzxt-h5-flow-atx-mid-tower-case-cc-h51fb-01,ATX
case,Deepcool CC560 ATX Mid Tower Case (R-CC560-BKGAA4-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/eacaf9e3a9f012060fbd0a98f4e22511.256p.jpg,https://pcpartpicker.com/product/YLGbt6/deepcool-cc560-atx-mid-tower-case-r-cc560-bkgaa4-g-1,ATX
case,Lian Li O11 Dynamic EVO ATX Mid Tower Case (PC-O11DEW),https://cdna.pcpartpicker.com/static/forever/images/product/ea0dee3c3376cc6326ca2f4a73a054ac.256p.jpg,https://pcpartpicker.com/product/4cPQzy/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dew,ATX
case,Lian Li O11 Dynamic EVO ATX Mid Tower Case (PC-O11DEX),https://m.media-amazon.com/images/I/41EN5WjnfyL.jpg,https://pcpartpicker.com/product/Ykytt6/lian-li-o11-dynamic-evo-atx-mid-tower-case-pc-o11dex,ATX
case,NZXT H5 Flow ATX Mid Tower Case (CC-H51FW-01),https://cdna.pcpartpicker.com/static/forever/images/product/6c58fbf47cba2aca9c9a56ff028fe5d9.256p.jpg,https://pcpartpicker.com/product/92pzK8/nzxt-h5-flow-atx-mid-tower-case-cc-h51fw-01,ATX
case,NZXT H9 Flow ATX Mid Tower Case (CM-H91FW-01),https://cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg,https://pcpartpicker.com/product/7ZBG3C/nzxt-h9-flow-atx-mid-tower-case-cm-h91fw-01,ATX
case,Corsair iCUE 4000X RGB ATX Mid Tower Case (CC-9011204-WW),https://cdna.pcpartpicker.com/static/forever/images/product/0610d363ccccf52837f07d811e4eb2a3.256p.jpg,https://pcpartpicker.com/product/6qFKHx/corsair-icue-4000x-rgb-atx-mid-tower-case-cc-9011204-ww,ATX
case,Fractal Design North ATX Mid Tower Case (FD-C-NOR1C-02),https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg,https://pcpartpicker.com/product/ybNxFT/fractal-design-north-atx-mid-tower-case-fd-c-nor1c-02,ATX
case,Lian Li LANCOOL 216 ATX Mid Tower Case (LANCOOL 216RX),https://cdna.pcpartpicker.com/static/forever/images/product/372a584cebeca5f57266bf0f07e6831c.256p.jpg,https://pcpartpicker.com/product/KKytt6/lian-li-lancool-216-atx-mid-tower-case-lancool-216rx,ATX
case,Corsair 4000D Airflow ATX Mid Tower Case (CC-9011201-WW),https://cdna.pcpartpicker.com/static/forever/images/product/ef83ac7b40f303152fbb47b6db45c9ca.256p.jpg,https://pcpartpicker.com/product/WBVG3C/corsair-4000d-airflow-atx-mid-tower-case-cc-9011201-ww,ATX
case,NZXT H9 Flow ATX Mid Tower Case (CM-H91FB-01),https://cdna.pcpartpicker.com/static/forever/images/product/15fb785fb4d0995e7cc7e28a6f2271d9.256p.jpg,https://pcpartpicker.com/product/VCpzK8/nzxt-h9-flow-atx-mid-tower-case-cm-h91fb-01,ATX
case,Fractal Design Pop Air ATX Mid Tower Case (FD-C-POA1A-02),https://cdna.pcpartpicker.com/static/forever/images/product/1d7438dfe855e147c0e8b3f235453b2b.256p.jpg,https://pcpartpicker.com/product/QnD7YJ/fractal-design-pop-air-atx-mid-tower-case-fd-c-poa1a-02,ATX
