partType,name,image,url,type
cooler,Cooler Master MASTERLIQUID ML240L RGB V2 65.59 CFM Liquid CPU Cooler (MLW-D24M-A18PC-R2),https://cdna.pcpartpicker.com/static/forever/images/product/5b6a5e7f4cf456ccf6415235cf7adc99.256p.jpg,https://pcpartpicker.com/product/fLFKHx/cooler-master-masterliquid-ml240l-rgb-v2-6559-cfm-liquid-cpu-cooler-mlw-d24m-a18pc-r2,liquid
cooler,NZXT Kraken Z73 73.11 CFM Liquid CPU Cooler (RL-KRZ73-01),https://cdna.pcpartpicker.com/static/forever/images/product/26b8fd4167a7e43f82d73cae4c26d565.256p.jpg,https://pcpartpicker.com/product/htkgXL/nzxt-kraken-z73-7311-cfm-liquid-cpu-cooler-rl-krz73-01,liquid
cooler,NZXT Kraken Elite 360 RGB 78.02 CFM Liquid CPU Cooler (RL-KR36E-W1),https://cdna.pcpartpicker.com/static/forever/images/product/49ed312d967c71e5bf866285deee9f9c.256p.jpg,https://pcpartpicker.com/product/pbKscf/nzxt-kraken-elite-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr36e-w1,liquid
cooler,Corsair iCUE H150i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler (CW-9060070-WW),https://cdna.pcpartpicker.com/static/forever/images/product/12bfecb3325a384ef35e38ada6b8bca3.256p.jpg,https://pcpartpicker.com/product/hxrqqs/corsair-icue-h150i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060070-ww,liquid
cooler,ARCTIC Liquid Freezer II 360 56.3 CFM Liquid CPU Cooler (ACFRE00068A),https://cdna.pcpartpicker.com/static/forever/images/product/211ec0a76765180845d9eda341ab7a7b.256p.jpg,https://pcpartpicker.com/product/2PFKHx/arctic-liquid-freezer-ii-360-563-cfm-liquid-cpu-cooler-acfre00068a,liquid
cooler,NZXT Kraken 240 RGB 78.02 CFM Liquid CPU Cooler (RL-KR240-W1),https://cdna.pcpartpicker.com/static/forever/images/product/ebd0dcafaf707dc2d772c44585ea8e10.256p.jpg,https://pcpartpicker.com/product/sJMMnQ/nzxt-kraken-240-rgb-7802-cfm-liquid-cpu-cooler-rl-kr240-w1,liquid
cooler,ID-COOLING FROSTFLOW X 74.5 CFM Liquid CPU Cooler (FROSTFLOW X 240 SNOW),https://m.media-amazon.com/images/I/31MEpJBHH+L.jpg,https://pcpartpicker.com/product/wx2bt6/id-cooling-frostflow-x-745-cfm-liquid-cpu-cooler-frostflow-x-240-snow,liquid
cooler,Deepcool LT720 85.85 CFM Liquid CPU Cooler (R-LT720-BKAMNF-G-1),https://m.media-amazon.com/images/I/31vR+qTk+ML.jpg,https://pcpartpicker.com/product/6Hwypg/deepcool-lt720-8585-cfm-liquid-cpu-cooler-r-lt720-bkamnf-g-1,liquid
cooler,Corsair iCUE H100i RGB ELITE 65.57 CFM Liquid CPU Cooler (CW-9060058-WW),https://cdna.pcpartpicker.com/static/forever/images/product/076dcbc1ba5e06eafb25c91e17dbef75.256p.jpg,https://pcpartpicker.com/product/scstt6/corsair-icue-h100i-rgb-elite-6557-cfm-liquid-cpu-cooler-cw-9060058-ww,liquid
cooler,NZXT Kraken 240 78.02 CFM Liquid CPU Cooler (RL-KN240-B1),https://cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg,https://pcpartpicker.com/product/LDqrxr/nzxt-kraken-240-7802-cfm-liquid-cpu-cooler-rl-kn240-b1,liquid
cooler,Corsair iCUE H100i ELITE CAPELLIX 75 CFM Liquid CPU Cooler (CW-9060046-WW),https://cdna.pcpartpicker.com/static/forever/images/product/3e80087537051bd56fa7650e7d61516d.256p.jpg,https://pcpartpicker.com/product/VDWBD3/corsair-icue-h100i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060046-ww,liquid
cooler,Corsair iCUE H150i ELITE CAPELLIX 75 CFM Liquid CPU Cooler (CW-9060048-WW),https://cdna.pcpartpicker.com/static/forever/images/product/c0affd65cd6738bf7da40dc7bfc85c44.256p.jpg,https://pcpartpicker.com/product/8jFKHx/corsair-icue-h150i-elite-capellix-75-cfm-liquid-cpu-cooler-cw-9060048-ww,liquid
cooler,NZXT Kraken X73 73.11 CFM Liquid CPU Cooler (RL-KRX73-01),https://m.media-amazon.com/images/I/413dWz1VhNL.jpg,https://pcpartpicker.com/product/vfVG3C/nzxt-kraken-x73-7311-cfm-liquid-cpu-cooler-rl-krx73-01,liquid
cooler,Corsair iCUE H150i ELITE LCD XT 65.57 CFM Liquid CPU Cooler (CW-9060075-WW),https://cdna.pcpartpicker.com/static/forever/images/product/3ec80850afc7392a6dad4b82ef95c424.256p.jpg,https://pcpartpicker.com/product/3sYRsY/corsair-icue-h150i-elite-lcd-xt-6557-cfm-liquid-cpu-cooler-cw-9060075-ww,liquid
cooler,NZXT Kraken Z73 RGB 52.44 CFM Liquid CPU Cooler (RL-KRZ73-R1),https://cdna.pcpartpicker.com/static/forever/images/product/1458789c98b11d505b1407ea9179bf71.256p.jpg,https://pcpartpicker.com/product/fXZ9TW/nzxt-kraken-z73-rgb-5244-cfm-liquid-cpu-cooler-rl-krz73-r1,liquid
cooler,ARCTIC Liquid Freezer II 240 56.3 CFM Liquid CPU Cooler (ACFRE00046A),https://cdna.pcpartpicker.com/static/forever/images/product/8836b6919f843ea0a51fe5b544efe3bf.256p.jpg,https://pcpartpicker.com/product/c4MTwP/arctic-liquid-freezer-ii-240-563-cfm-liquid-cpu-cooler-acfre00046a,liquid
cooler,Deepcool LS720 85.85 CFM Liquid CPU Cooler (R-LS720-BKAMNT-G-1),https://m.media-amazon.com/images/I/31tBU+F0zeL.jpg,https://pcpartpicker.com/product/kXwypg/deepcool-ls720-8585-cfm-liquid-cpu-cooler-r-ls720-bkamnt-g-1,liquid
cooler,ARCTIC Liquid Freezer II 280 72.8 CFM Liquid CPU Cooler (ACFRE00066A),https://cdna.pcpartpicker.com/static/forever/images/product/d4be1665d9e39cda9ce38d3cac4abfe6.256p.jpg,https://pcpartpicker.com/product/smDkcf/arctic-liquid-freezer-ii-280-728-cfm-liquid-cpu-cooler-acfre00066a,liquid
cooler,Deepcool LS520 SE 85.85 CFM Liquid CPU Cooler (LS520 SE),https://m.media-amazon.com/images/I/319SxQ+ofoL.jpg,https://pcpartpicker.com/product/crxxFT/deepcool-ls520-se-8585-cfm-liquid-cpu-cooler-ls520-se,liquid
cooler,NZXT Kraken Elite 360 RGB 78.02 CFM Liquid CPU Cooler (RL-KR36E-B1),https://cdna.pcpartpicker.com/static/forever/images/product/00f3005287758516d8b319cefd625a13.256p.jpg,https://pcpartpicker.com/product/3bKscf/nzxt-kraken-elite-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr36e-b1,liquid
cooler,Corsair iCUE H150i ELITE LCD XT 65.57 CFM Liquid CPU Cooler (CW-9060077-WW),https://cdna.pcpartpicker.com/static/forever/images/product/d2a5cdb7e929d90e63cba524e6f668ad.256p.jpg,https://pcpartpicker.com/product/6XLdnQ/corsair-icue-h150i-elite-lcd-xt-6557-cfm-liquid-cpu-cooler-cw-9060077-ww,liquid
cooler,Corsair iCUE H100i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler (CW-9060068-WW),https://cdna.pcpartpicker.com/static/forever/images/product/8de314f804023029ef40cf2f02b00a2d.256p.jpg,https://pcpartpicker.com/product/bjXV3C/corsair-icue-h100i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060068-ww,liquid
cooler,MSI MAG CORELIQUID 240R V2 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID 240R V2),https://cdna.pcpartpicker.com/static/forever/images/product/e452db7a637e23fd3b05c4cec1d895f1.256p.jpg,https://pcpartpicker.com/product/dCcG3C/msi-mag-coreliquid-240r-v2-7873-cfm-liquid-cpu-cooler-mag-coreliquid-240r-v2,liquid
cooler,Deepcool LT520 85.85 CFM Liquid CPU Cooler (R-LT520-BKAMNF-G-1),https://m.media-amazon.com/images/I/31KQLrPSUHL.jpg,https://pcpartpicker.com/product/WhWzK8/deepcool-lt520-8585-cfm-liquid-cpu-cooler-r-lt520-bkamnf-g-1,liquid
cooler,Deepcool LS720 SE 85.85 CFM Liquid CPU Cooler (LS720 SE),https://m.media-amazon.com/images/I/41lhOsw+ACL.jpg,https://pcpartpicker.com/product/yBDQzy/deepcool-ls720-se-8585-cfm-liquid-cpu-cooler-ls720-se,liquid
cooler,Corsair iCUE H100i ELITE LCD XT 65.57 CFM Liquid CPU Cooler (CW-9060072-WW),https://cdna.pcpartpicker.com/static/forever/images/product/89bda0047f8b2ccffe4de3b909175e0b.256p.jpg,https://pcpartpicker.com/product/V6XV3C/corsair-icue-h100i-elite-lcd-xt-6557-cfm-liquid-cpu-cooler-cw-9060072-ww,liquid
cooler,Corsair iCUE H150i ELITE CAPELLIX XT 65.57 CFM Liquid CPU Cooler (CW-9060073-WW),https://cdna.pcpartpicker.com/static/forever/images/product/b2b9eee9f88a4a8db5a4ddb6cef86927.256p.jpg,https://pcpartpicker.com/product/sccgXL/corsair-icue-h150i-elite-capellix-xt-6557-cfm-liquid-cpu-cooler-cw-9060073-ww,liquid
cooler,NZXT Kraken 360 RGB 78.02 CFM Liquid CPU Cooler (RL-KR360-W1),https://cdna.pcpartpicker.com/static/forever/images/product/19da19fbf153d36efcda6b886afa78c0.256p.jpg,https://pcpartpicker.com/product/HNcgXL/nzxt-kraken-360-rgb-7802-cfm-liquid-cpu-cooler-rl-kr360-w1,liquid
cooler,Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION 58.54 CFM Liquid CPU Cooler (GA-360SLA),https://cdna.pcpartpicker.com/static/forever/images/product/955050d4431a480818d74c81b1e0c777.256p.jpg,https://pcpartpicker.com/product/DN92FT/lian-li-galahad-aio-360-rgb-uni-fan-sl120-edition-5854-cfm-liquid-cpu-cooler-ga-360sla,liquid
cooler,ARCTIC Liquid Freezer II 360 A-RGB 48.8 CFM Liquid CPU Cooler (ACFRE00101A),https://cdna.pcpartpicker.com/static/forever/images/product/7fb1d50312d580bf83856c7aab42bef1.256p.jpg,https://pcpartpicker.com/product/y7wypg/arctic-liquid-freezer-ii-360-a-rgb-488-cfm-liquid-cpu-cooler-acfre00101a,liquid
cooler,Corsair iCUE H100x RGB ELITE 47.73 CFM Liquid CPU Cooler (CW-9060065-WW),https://cdna.pcpartpicker.com/static/forever/images/product/910431067172593d99eb5c6c6f6ca70e.256p.jpg,https://pcpartpicker.com/product/2RBzK8/corsair-icue-h100x-rgb-elite-4773-cfm-liquid-cpu-cooler-cw-9060065-ww,liquid
cooler,NZXT Kraken Z63 98.17 CFM Liquid CPU Cooler (RL-KRZ63-01),https://cdna.pcpartpicker.com/static/forever/images/product/ac552283fdffa791733145916bb359c4.256p.jpg,https://pcpartpicker.com/product/Xbyqqs/nzxt-kraken-z63-9817-cfm-liquid-cpu-cooler-rl-krz63-01,liquid
cooler,Corsair iCUE H150i RGB ELITE 65.57 CFM Liquid CPU Cooler (CW-9060060-WW),https://cdna.pcpartpicker.com/static/forever/images/product/c62037c7acff44a3e3a21a2aa4c8edda.256p.jpg,https://pcpartpicker.com/product/dnVmP6/corsair-icue-h150i-rgb-elite-6557-cfm-liquid-cpu-cooler-cw-9060060-ww,liquid
cooler,NZXT Kraken X63 98.17 CFM Liquid CPU Cooler (RL-KRX63-01),https://cdna.pcpartpicker.com/static/forever/images/product/a0f3c73c8cb78b224aef8977bb4b2d96.256p.jpg,https://pcpartpicker.com/product/JfVG3C/nzxt-kraken-x63-9817-cfm-liquid-cpu-cooler-rl-krx63-01,liquid
cooler,MSI MAG CORELIQUID 360R V2 78.73 CFM Liquid CPU Cooler (MAG CORELIQUID 360R V2),https://cdna.pcpartpicker.com/static/forever/images/product/7a8eb35e54d9877fa9c18a8fb8ef37a7.256p.jpg,https://pcpartpicker.com/product/bnPQzy/msi-mag-coreliquid-360r-v2-7873-cfm-liquid-cpu-cooler-mag-coreliquid-360r-v2,liquid
cooler,Cooler Master MasterLiquid ML240L V2 RGB 62 CFM Liquid CPU Cooler (MLW-D24M-A18PC-RW),https://cdna.pcpartpicker.com/static/forever/images/product/2c03335f73ba12d4fc6b612a3f042eb8.256p.jpg,https://pcpartpicker.com/product/nHBG3C/cooler-master-masterliquid-ml240l-v2-rgb-62-cfm-liquid-cpu-cooler-mlw-d24m-a18pc-rw,liquid
cooler,NZXT Kraken Z73 RGB 52.44 CFM Liquid CPU Cooler (RL-KRZ73-RW),https://cdna.pcpartpicker.com/static/forever/images/product/3e22ca8828d712a21fae2eff9df00632.256p.jpg,https://pcpartpicker.com/product/4HQcCJ/nzxt-kraken-z73-rgb-5244-cfm-liquid-cpu-cooler-rl-krz73-rw,liquid
cooler,NZXT Kraken 360 78.02 CFM Liquid CPU Cooler (RL-KN360-B1),https://cdna.pcpartpicker.com/static/forever/images/product/e71bea262e634ec0decd5847c6e4d0a1.256p.jpg,https://pcpartpicker.com/product/D8rqqs/nzxt-kraken-360-7802-cfm-liquid-cpu-cooler-rl-kn360-b1,liquid
cooler,Cooler Master MASTERLIQUID ML120L RGB V2 65.59 CFM Liquid CPU Cooler (MLW-D12M-A18PC-R2),https://cdna.pcpartpicker.com/static/forever/images/product/09bf243952495ef89ed4a6125b1b60b7.256p.jpg,https://pcpartpicker.com/product/4TpmP6/cooler-master-masterliquid-ml120l-rgb-v2-6559-cfm-liquid-cpu-cooler-mlw-d12m-a18pc-r2,liquid
cooler,Deepcool LS720 WH 85.85 CFM Liquid CPU Cooler (R-LS720-WHAMNT-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/9de5da32cc25f0504018cac6128cef04.256p.jpg,https://pcpartpicker.com/product/q86p99/deepcool-ls720-wh-8585-cfm-liquid-cpu-cooler-r-ls720-whamnt-g-1,liquid
cooler,Cooler Master MasterLiquid ML360L ARGB V2 62 CFM Liquid CPU Cooler (MLW-D36M-A18PA-R2),https://cdna.pcpartpicker.com/static/forever/images/product/ea36ac50a82a3ab31a66b9c11513fd24.256p.jpg,https://pcpartpicker.com/product/jpPQzy/cooler-master-masterliquid-ml360l-argb-v2-62-cfm-liquid-cpu-cooler-mlw-d36m-a18pa-r2,liquid
cooler,NZXT Kraken X53 73.11 CFM Liquid CPU Cooler (RL-KRX53-01),https://cdna.pcpartpicker.com/static/forever/images/product/098f91f23535f45875611413e7b892d6.256p.jpg,https://pcpartpicker.com/product/PVfFf7/nzxt-kraken-x53-7311-cfm-liquid-cpu-cooler-rl-krx53-01,liquid
cooler,Deepcool LT720 WH 85.85 CFM Liquid CPU Cooler (R-LT720-WHAMNF-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/861b8df9d997376de670ad86c23143bb.256p.jpg,https://pcpartpicker.com/product/hhqrxr/deepcool-lt720-wh-8585-cfm-liquid-cpu-cooler-r-lt720-whamnf-g-1,liquid
