partType,name,image,url,type,size
memory,Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (CMZ16GX3M2A1600C10),https://m.media-amazon.com/images/I/51epHDwf7lL.jpg,https://pcpartpicker.com/product/qdkD4D/corsair-memory-cmz16gx3m2a1600c10,DDR3,16
memory,Silicon Power SP016GLLTU160N22 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (SP016GLLTU160N22),https://cdna.pcpartpicker.com/static/forever/images/product/03862fe576104a6e89282ca9a5bc8148.256p.jpg,https://pcpartpicker.com/product/yvZ9TW/silicon-power-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-sp016glltu160n22,DDR3,16
memory,G.Skill Ripjaws 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (F3-12800CL9D-8GBRL),https://cdna.pcpartpicker.com/static/forever/images/product/33a0401a7ad66ac27e15195063a016a2.256p.jpg,https://pcpartpicker.com/product/36zv6h/gskill-memory-f312800cl9d8gbrl,DDR3,8
memory,Patriot Viper 3 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory (PV316G186C0K),https://m.media-amazon.com/images/I/41FTZK2Nf7L.jpg,https://pcpartpicker.com/product/zsTmP6/patriot-memory-pv316g186c0k,DDR3,16
memory,G.Skill Ripjaws X 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (F3-12800CL10D-16GBXL),https://cdna.pcpartpicker.com/static/forever/images/product/2352962913e9ad87a8a45ab417e202cf.256p.jpg,https://pcpartpicker.com/product/qqvRsY/gskill-memory-f312800cl10d16gbxl,DDR3,16
memory,Samsung M378B5173DB0-CK0 4 GB (1 x 4 GB) DDR3-1600 CL11 Memory (M378B5173DB0-CK0),https://m.media-amazon.com/images/I/412KwK7ry1L.jpg,https://pcpartpicker.com/product/TtjNnQ/samsung-4-gb-1-x-4-gb-ddr3-1600-cl11-memory-m378b5173db0-ck0,DDR3,4
memory,Patriot Signature 8 GB (1 x 8 GB) DDR3-1600 CL11 Memory (PSD38G16002),https://cdna.pcpartpicker.com/static/forever/images/product/5390c9f7aba016f79464e40ca71a994b.256p.jpg,https://pcpartpicker.com/product/CnW9TW/patriot-memory-psd38g16002,DDR3,8
memory,Kingston KVR1333D3N9/4G 4 GB (1 x 4 GB) DDR3-1333 CL9 Memory (KVR1333D3N9/4G),https://m.media-amazon.com/images/I/41I2G3qncqL.jpg,https://pcpartpicker.com/product/wjV48d/kingston-memory-kvr1333d3n94g,DDR3,4
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1866 CL10 Memory (HX318C10FBK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/f5e970b32d6341614fdafff924304d72.256p.jpg,https://pcpartpicker.com/product/CtV48d/kingston-memory-hx318c10fbk216,DDR3,16
memory,Kingston KVR13N9S6/2 2 GB (1 x 2 GB) DDR3-1333 CL9 Memory (KVR13N9S6/2),https://cdna.pcpartpicker.com/static/forever/images/product/a3cbd50ab70038737cae88535d08d1db.256p.jpg,https://pcpartpicker.com/product/X67wrH/kingston-memory-kvr13n9s62,DDR3,2
memory,TEAMGROUP Elite 16 GB (2 x 8 GB) DDR3-1600 CL11 Memory (TED316G1600C11DC01),https://cdna.pcpartpicker.com/static/forever/images/product/8a0511de4e8375f88bb6f81276819b86.256p.jpg,https://pcpartpicker.com/product/6fXYcf/team-elite-16-gb-2-x-8-gb-ddr3-1600-cl11-memory-ted316g1600c11dc01,DDR3,16
memory,Kingston KVR1333D3N9HK2/8G 8 GB (2 x 4 GB) DDR3-1333 CL9 Memory (KVR1333D3N9HK2/8G),https://images-na.ssl-images-amazon.com/images/I/41RS6bm3zPL.jpg,https://pcpartpicker.com/product/7pTmP6/kingston-memory-kvr1333d3n9hk28g,DDR3,8
memory,Corsair Vengeance 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (CMZ8GX3M2A1600C9),https://cdna.pcpartpicker.com/static/forever/images/product/44d03f8a573c01b34f74ee7497b17171.256p.jpg,https://pcpartpicker.com/product/KK9KHx/corsair-memory-cmz8gx3m2a1600c9,DDR3,8
memory,Kingston HyperX Fury 16 GB (2 x 8 GB) DDR3-1600 CL10 Memory (HX316C10FK2/16),https://cdna.pcpartpicker.com/static/forever/images/product/a3a07a02c1a4415327f77188ecdc1fd8.256p.jpg,https://pcpartpicker.com/product/t4R48d/kingston-memory-hx316c10fk216,DDR3,16
memory,G.Skill Ripjaws X 16 GB (2 x 8 GB) DDR3-2400 CL11 Memory (F3-2400C11D-16GXM),https://m.media-amazon.com/images/I/51M2oRgTQVL.jpg,https://pcpartpicker.com/product/jx7wrH/gskill-memory-f32400c11d16gxm,DDR3,16
memory,Kingston HyperX Fury 8 GB (2 x 4 GB) DDR3-1600 CL10 Memory (HX316C10FK2/8),https://cdna.pcpartpicker.com/static/forever/images/product/a3a07a02c1a4415327f77188ecdc1fd8.256p.jpg,https://pcpartpicker.com/product/vmyFf7/kingston-memory-hx316c10fk28,DDR3,8
memory,Corsair Vengeance LP 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (CML32GX3M4A1600C10),https://cdna.pcpartpicker.com/static/forever/images/product/75e47ea4718af77bfd991bf59f1bc5c7.256p.jpg,https://pcpartpicker.com/product/D2PfrH/corsair-memory-cml32gx3m4a1600c10,DDR3,32
memory,Patriot Viper 3 16 GB (2 x 8 GB) DDR3-1600 CL9 Memory (PV316G160C9K),https://cdna.pcpartpicker.com/static/forever/images/product/650d0c4ce44a6e160bcb871b4ca9a7d6.256p.jpg,https://pcpartpicker.com/product/xX8Zxr/patriot-memory-pv316g160c9k,DDR3,16
memory,G.Skill Ripjaws X 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (F3-12800CL9D-8GBXL),https://cdna.pcpartpicker.com/static/forever/images/product/2352962913e9ad87a8a45ab417e202cf.256p.jpg,https://pcpartpicker.com/product/LzTmP6/gskill-memory-f312800cl9d8gbxl,DDR3,8
memory,G.Skill Value 4 GB (1 x 4 GB) DDR3-1333 CL9 Memory (F3-10600CL9S-4GBNT),https://m.media-amazon.com/images/I/41VLVD5zFNL.jpg,https://pcpartpicker.com/product/Lqzv6h/gskill-memory-f310600cl9s4gbnt,DDR3,4
memory,Patriot Viper 3 8 GB (2 x 4 GB) DDR3-1600 CL9 Memory (PV38G160C9K),https://m.media-amazon.com/images/I/41qqKfmwKcL.jpg,https://pcpartpicker.com/product/nBCwrH/patriot-memory-pv38g160c9k,DDR3,8
