partType,name,image,url,brand,socket,size
motherboard,Asus PRIME Z390-A ATX LGA1151 Motherboard (PRIME Z390-A),https://cdna.pcpartpicker.com/static/forever/images/product/9bf978a8545947c14c8ab7b7338f9ae2.256p.jpg,https://pcpartpicker.com/product/2k3H99/asus-prime-z390-a-atx-lga1151-motherboard-prime-z390-a,Intel,LGA 1151,ATX
motherboard,ASRock B365M-HDV Micro ATX LGA1151 Motherboard (B365M-HDV),https://cdna.pcpartpicker.com/static/forever/images/product/b6196d5b8b72eb6bfb4d42ccd24d8b25.256p.jpg,https://pcpartpicker.com/product/P9WBD3/asrock-b365m-hdv-micro-atx-lga1151-motherboard-b365m-hdv,Intel,LGA 1151,ATX
motherboard,MSI Z390-A PRO ATX LGA1151 Motherboard (Z390-A PRO),https://cdna.pcpartpicker.com/static/forever/images/product/65d2e2e1dd6c41fe051500c6d88ffe0c.256p.jpg,https://pcpartpicker.com/product/qpL48d/msi-z390-a-pro-atx-lga1151-motherboard-z390-a-pro,Intel,LGA 1151,ATX
motherboard,Asus ROG STRIX Z390-E GAMING ATX LGA1151 Motherboard (ROG STRIX Z390-E GAMING),https://cdna.pcpartpicker.com/static/forever/images/product/7fe5cb1d35e7385f6cd195e787ab9274.256p.jpg,https://pcpartpicker.com/product/MWL48d/asus-rog-strix-z390-e-gaming-atx-lga1151-motherboard-rog-strix-z390-e-gaming,Intel,LGA 1151,ATX
motherboard,Gigabyte Z390 AORUS PRO WIFI ATX LGA1151 Motherboard (Z390 AORUS PRO WIFI),https://cdna.pcpartpicker.com/static/forever/images/product/a735153cb96091c6e69f267386e177df.256p.jpg,https://pcpartpicker.com/product/N6gzK8/gigabyte-z390-aorus-pro-wifi-atx-lga1151-motherboard-z390-aorus-pro-wifi,Intel,LGA 1151,ATX
motherboard,Asus PRIME Z390-P ATX LGA1151 Motherboard (PRIME Z390-P),https://cdna.pcpartpicker.com/static/forever/images/product/7709bacef3c1dff5fc91ceacff36bbbf.256p.jpg,https://pcpartpicker.com/product/bpL48d/asus-prime-z390-p-atx-lga1151-motherboard-prime-z390-p,Intel,LGA 1151,ATX
motherboard,Asus Z170-A ATX LGA1151 Motherboard (Z170-A),https://cdna.pcpartpicker.com/static/forever/images/product/275bd01f746af921f9739489bb235716.256p.jpg,https://pcpartpicker.com/product/Q9Gj4D/asus-motherboard-z170a,Intel,LGA 1151,ATX
motherboard,ASRock H310CM-DVS Micro ATX LGA1151 Motherboard (H310CM-DVS),https://cdna.pcpartpicker.com/static/forever/images/product/30ccbc7d5e77b0bfe36995077805bf83.256p.jpg,https://pcpartpicker.com/product/MnhKHx/asrock-h310cm-dvs-micro-atx-lga1151-motherboard-h310cm-dvs,Intel,LGA 1151,ATX
motherboard,ASRock B365M Pro4 Micro ATX LGA1151 Motherboard (B365M Pro4),https://images-fe.ssl-images-amazon.com/images/I/519Ijk4KsTL.jpg,https://pcpartpicker.com/product/Xtzkcf/asrock-b365m-pro4-micro-atx-lga1151-motherboard-b365m-pro4,Intel,LGA 1151,ATX
motherboard,MSI MPG Z390 GAMING EDGE AC ATX LGA1151 Motherboard (MPG Z390 GAMING EDGE AC),https://m.media-amazon.com/images/I/51cwqUsvMoL.jpg,https://pcpartpicker.com/product/t8qhP6/msi-mpg-z390-gaming-edge-ac-atx-lga1151-motherboard-mpg-z390-gaming-edge-ac,Intel,LGA 1151,ATX
